Unidad,Nombre de la actividad,Descripción de la actividad,Fecha de entrega
1,Actividad 1,Actividad autogestiva (opción múltiple). Identificar si el razonamiento en ejemplos es inductivo o deductivo. Incluye 4 ejercicios de lógica y un ejercicio de ecuaciones simples.,21 de agosto
1,Complementaria 1,Identificar razonamiento inductivo o deductivo en varios casos y predecir números en secuencias dadas. Incluye 5 ejemplos de razonamiento y 9 secuencias numéricas para completar.,25 de agosto
2,Actividad 1,Resolver incógnitas numéricas mostrando procedimiento. Ejercicios de álgebra básica con pasos detallados y entrega en archivo adjunto.,08 de septiembre
2,Complementaria 1,Problemas de probabilidad con lanzamiento de dados y tabla de frecuencias. Calcular probabilidades simples y condicionales usando fórmulas.,11 de septiembre
2,Actividad 2,Resolver sistemas de ecuaciones lineales 2x2 mostrando procedimiento. Incluye dos ejercicios de álgebra.,22 de septiembre
2,Complementaria 2,"Ejercicios de estadística y probabilidad aplicadas: distribuciones muestrales, pruebas de hipótesis y análisis de datos. Presentar procedimiento, tablas y conclusiones.",25 de septiembre
3,Complementaria 1,"Preguntas sobre el GMAT, estructura de problemas cuantitativos, mapa conceptual de criterios de decisión y resolución de dos problemas matemáticos.",06 de octubre
3,Complementaria 2,"Problemas de lógica matemática, números primos, ecuaciones con condiciones y resolución con datos parciales.",10 de octubre
4,Complementaria 1,Investigar relación y utilidad del razonamiento verbal del GMAT en la carrera. Redactar respuestas y justificar con referencias bibliográficas.,27 de octubre
4,Complementaria 2,"Problemas de programación lineal para maximizar beneficios y distribuir inversiones. Definir variables, función objetivo y restricciones.",29 de octubre
5,Complementaria 1,Plantear modelos de programación lineal para problemas dados sin resolverlos. Resolver mediante método gráfico y simplex ejercicios propuestos.,10 de noviembre
5,Complementaria 2,"Modelar y resolver problemas de programación lineal con software como Lindo o RStudio. Incluir capturas, resultados e interpretación.",19 de noviembre
